Category,Title,Channel,Video Link,Channel Link,Views,Likes,Thumbnail,Duration,Description,Summary,Video_id,Embed_code
22,혜진궁으로의 초대 (기안84의 시선 ver.),인생84,https://www.youtube.com/watch?v=UaU2VZS-_GU,https://www.youtube.com/channel/UC1Rz7a_DWtsE9cQwSyElE0Q,656906,19934,https://img.youtube.com/vi/UaU2VZS-_GU/hqdefault.jpg,PT18M24S,"- 인생84 구독자만을 위한 특별 시크릿 할인코드 20%(~12/17)
▶ 쿠폰링크 : https://bit.ly/40PlB2m / 쿠폰코드 : 다운왕
▶ 다운왕 무신사 스탠다드 스포츠 컬렉션 보러가기 : https://bit.ly/3uIegFw
**무신사 블랙프라이데이 기간 동안(~12/3) 시크릿 할인 코드 중복 적용 가능합니다. 큰 할인 혜택을 놓치지 마세요! 
 
- 기안84 & 이시언 착용 제품 
▶ 프로텍트쉘™ 리버서블 구스 다운 자켓 [다크 그레이] : https://bit.ly/3R7UlsH 
▶  [유러피안 덕 다운]프로텍트쉘™ 나일론 메탈 다운 자켓 [실버] : https://bit.ly/3R92BbT
 
- 무신사 스탠다드 스포츠 팝업 스토어 운영중으로, 피팅이 가능하니 사이즈가 고민되시는 분들은 방문하여 착용해보세요! (15% 할인) 
▶ 성동구 연무장길 81 / 11:00~20:00 운영

#기안84
IG - @khmnim1513
Biz E-Mail - backho2301@gmail.com",<extra_id_0>팔사 최초 출연자인 한 씨가 한 씨의 집에 가서 밥을 먹고 싶다고 해서 같이 가자고 했다. 그런데 한 씨가 갑자기 채널을 만들고 집을 짓는다며 갑자기 집에 가자고 했다. 그래서 한 씨가 집에 가서 밥을 먹고 싶다고 했다.,UaU2VZS-_GU,https://www.youtube.com/embed/UaU2VZS-_GU
22,[SUB] 형만 12명인 사람이 누나만 8명인 사람을 만났을 때 │  재친구 Ep.18 │  디노 김재중,우하머그 uhmg studio,https://www.youtube.com/watch?v=K726jlSWTmA,https://www.youtube.com/channel/UCrm9WNC28TyK41MUGGtywuw,567307,41351,https://img.youtube.com/vi/K726jlSWTmA/hqdefault.jpg,PT29M39S,"세대 초월 김재중 친구 만들기 토크쇼 재친구😎

재친구의 열여덟 번째 친구는?
세븐틴의 작은 거인이자 케이팝의 미래 디노💕

환) 재친구에 아기 디노 오신 날 (영
솔로 데뷔 후 첫 예능으로 재중형 만나러 왔다가
멘탈 털리고(?) 정한이 형과 재출연 약속까지 하고 간 사연은? 

Wait, 다들 디노 기특해요 😍 찬랑해 😍 외칠 준비되셨나요? 



출연/협찬 문의 💌
contact │ uhmg_crew@daum.net

본 콘텐츠의 내용과 부합되지 않는 내용의 댓글은 지양해주시기 바랍니다
Please avoid comments that are not related to this content

#재친구 #디노 #김재중 #세븐틴
#Jaefriends #Dino #Seventeen #Jaejoong #kimjaejoong 
#ジェジュン #金在中 #J_JUN #李燦 #Leechan",멤버들에게 고맙다고 인사를 하고 싶다고 했는데 왜 그렇게 말을 안 하냐고 했다.,K726jlSWTmA,https://www.youtube.com/embed/K726jlSWTmA
24,"*최초 공개* 드디어 뭉친 이시언x기안84x한혜진의 황천길 라이딩🏍️🔥 ｜삼남매 케미 폭발, 바이크 여행, 막국수 먹방, 베스파",한혜진 Han Hye Jin,https://www.youtube.com/watch?v=tjHMsxdNDus,https://www.youtube.com/channel/UCkvh3vrWsoi_cd7HyiikzIQ,839606,20960,https://img.youtube.com/vi/tjHMsxdNDus/hqdefault.jpg,PT17M34S,"*본 영상은 '골스튜디오'의 유료광고를 포함하고 있습니다.

안녕하세요 여러분 한혜진입니다:)
드디어 저희 세 명이 뭉쳤습니다!

만나자마자 티격태격.. 쉽지않은 하루였는데요..
그래도 오랜만에 만나 저희 집 구경도 하고 
폭탄 발언도 많이 하고,,ㅎㅎ

부디 오늘이 마지막 합방이 아니길 바라며..★
금요일 영상도 기대 많이 해주세요

#한혜진 #이시언 #기안84 
-----------------------
📢 골스튜디오 패딩 베스트·패딩 둘러보기 📢

[제품명]
- DETACHABLE HOODED PUFFER PADDING VEST (3 colors)
- DETACHABLE HOODED PUFFER DOWN JACKET (3 colors)

[구매 링크]
https://bit.ly/3RcX7N7


Copyright © 2023 Studio Episode - All Rights Reserved",우리의 마지막 촬영이 시작되었고 나는 홍천까지 가서 밥을 먹고 싶다고 했다. 그런데 갑자기 왜 이렇게 빨리 끝나냐고 하면서 자꾸 뭐라 그러길래 나는 그냥 집에 가서 밥을 먹고 싶다고 했다.,tjHMsxdNDus,https://www.youtube.com/embed/tjHMsxdNDus
24,"이경규x김용만, 찐친들의 대환장 폭로 현장ㅋㅋㅋ (feat. 김수용) l 예능대부 갓경규 EP.19",르크크 이경규,https://www.youtube.com/watch?v=bP3a5pr61FA,https://www.youtube.com/channel/UCvRdxQlYfr64KC9CNGBn9JA,220987,6691,https://img.youtube.com/vi/bP3a5pr61FA/hqdefault.jpg,PT18M25S,"#김용만 #김수용 #이경규 #예능대부갓경규

👑예능대부 갓경규👑 
구독 & 좋아요 & 알림설정 필수!

🌟공식 인스타그램🌟
https://www.instagram.com/_lkk_official_

💌비즈니스 문의💌
adgbusiness@adgcompany.co.kr",김 씨는 회사를 설립하고 몇 년 동안 회사를 다녔냐고 물었다. 나는 회사를 다니는 것이 아니라 그냥 회사를 운영하는 거라고 했다. 그래서 나는 회사를 운영하는 것이 아니라 사람들이 모이는 곳에 가서 인터뷰를 하고 싶다고 했다. 그래서 나는 회사를 운영하는 거라고 했다. 그런데 그 사람들이 나를 왜 그렇게 싫어하냐고 했다. 나는 회사를 ,bP3a5pr61FA,https://www.youtube.com/embed/bP3a5pr61FA
24,[SUB] '그'만 사랑하겠습니다 | EP.17 스위트홈2 이진욱&송강 | 살롱드립2,TEO 테오,https://www.youtube.com/watch?v=7B5UwngqBGg,https://www.youtube.com/channel/UC-uIpGINZDL-VIHQQzJW8jw,786431,19405,https://img.youtube.com/vi/7B5UwngqBGg/hqdefault.jpg,PT33M35S,"너무 스윗해서 녹아버릴 것 같아요..🫠
넷플릭스 ‘스위트홈2’ 이진욱&송강!

도연만 보인단 말이야🐎 도연 바라기인줄 알았던 송강과
3대 등장신 주인공에서 오늘부터는 낭만 고양이🐱, 아니 낭만가이 진욱!
누구 하나 거를 타선 없이 웃음x미모 유효타가 넘치다 못해 홈런이요~⚾
웃음을 욕망한다면 오늘도 살롱드립으로 오세홈💗

[살롱드립2] 매주 화요일 오후 6시 테오 유튜브에서 공개
#이진욱 #송강 #스위트홈2 #넷플릭스 #장도연 #살롱드립2 #SalonDrip #TEO #테오

*본 영상과 무관한 내용의 댓글과 출연자에 대한 무분별한 욕설, 비난 및 조롱 등 악의적인 댓글은 무통보 삭제될 수 있습니다. (Hateful comments or indiscriminate swearing, criticism, and ridicule of the cast may be deleted without notice.)

*본 영상은 유료 광고를 포함하고 있습니다. (This video includes sponsored content.)",송 씨는 자신이 좋아하는 사람이 있다고 생각해서 그렇게 생각하는 것 같아 고맙다고 말했다.,7B5UwngqBGg,https://www.youtube.com/embed/7B5UwngqBGg
26,"무조림 이렇게 조려야 맛이 쏙쏙 베여요! 이방법으로 두부조림, 고등어무조림, 어묵조림 까지 만들 수 있어 일주일 반찬 뚝딱!",첫째아들,https://www.youtube.com/watch?v=1gwhFHu32WI,https://www.youtube.com/channel/UCGL-5gylJg3G7T7epVBnhtQ,378835,3539,https://img.youtube.com/vi/1gwhFHu32WI/hqdefault.jpg,PT7M11S,"안녕하세요 첫째아들입니다!
오늘은 요즘 싸고 맛있는 무로 무조림 준비했습니다.
제가 만든 방식으로 무조림 기본 만들어주시면 수십가지 반찬 만들 수 있으니 한번 따라 만들어보세요~!

[재료] *컵은 종이컵 기준입니다*
무 1개 (1.5kg)
물 2L
진간장 1컵 반 250g
참치액 1/3컵 50g
설탕 3숟가락 30g
물엿 1컵 150g
다시마 1장 10g
고춧가루 2컵 100g
대파 1대 100g
다진마늘 수북히 2숟가락 45g
다진생강 반숟가락 12g


[어묵 무조림]
어묵 4장
대파 반대
양파 반개
무조림 기본 3국자

[두부 무조림]
두부 1모
대파 반대
양파 반개
무조림 기본 3국자
들기름

[고등어무조림]
고등어 2마리
대파 반대
양파 반개
청양고추 1개
무조림 기본 3국자
들기름
후추

채널에 가입하시면 영상제작에 큰 힘이됩니다!
https://www.youtube.com/channel/UCGL-5gylJg3G7T7epVBnhtQ/join",무조림을 한번에 다 조리지 말고 두고두고 먹는 무조림 만드는 법으로 만들어두면 여러 방식으로 맛있게 먹을 수 있다.,1gwhFHu32WI,https://www.youtube.com/embed/1gwhFHu32WI
17,"미노이에게 혼나는 GYM노인.. (Feat. 미노이, 쇼리)",김종국 GYM JONG KOOK,https://www.youtube.com/watch?v=2WwrcWL8nag,https://www.youtube.com/channel/UCoe-0EVDJnjlSoPK8ygcGwQ,195271,5145,https://img.youtube.com/vi/2WwrcWL8nag/hqdefault.jpg,PT27M17S,"아주 호되게 혼이 났습니다.
이 정도인 줄 몰랐는데 세대 간 소통이 이렇게나 뒤떨어졌다니.. 반성 많이 했습니다. 
MZ세대 대표 뮤지션 미노이한테.. 치료 제대로 받았습니다.

마냥 재밌기만 한 아이가 아니고 음악성이 뛰어난 뮤지션이기도 합니다.

재밌게 보시고 즐거운 하루 마무리하십시오! 

#김종국 #짐종국 #미노이",우리가 같이 운동을 할 때 어깨가 안 좋다고 하는 사람이 있는데 나는 그렇게 하지 않고 그냥 편하게 앉아서 운동을 하는 것이 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 그냥 운동을 하는 ,2WwrcWL8nag,https://www.youtube.com/embed/2WwrcWL8nag
22,BABYMONSTER - 'BATTER UP' M/V,BABYMONSTER,https://www.youtube.com/watch?v=olDWm2veCrM,https://www.youtube.com/channel/UCqwUnggBBct-AY2lAdI88jQ,52177106,1719241,https://img.youtube.com/vi/olDWm2veCrM/hqdefault.jpg,PT3M19S,"BATTER UP

I’m on a mission
Don’t need permission
No matter what I’m gonna make my own decisions

I’m talking you
You want it too
예쁘고 착한 내가 어떻게 변할지 monster

Remember Me
Sting like a bee
굶주린 사자 같은 personality

네 맘 빼고 다른 것은 원하지 않아
I would never do you wrong
You’ll regret it when I’m gone

You
좀 더 강하게
더 빠르게
날려 버릴게

You
Got a lot to say
What a big mistake

Batter Batter Batter Up
Batter Up Batter Up Batter Up
Batter Batter Batter Up
Batter Up Batter Up Batter Up
Batter Batter Batter Up

Yeah
Hit it 난 달려
Never can stop
Rappin 시작
네 귀에 shot
비명은 함성이 될 거야 loud
서프라이즈
Yo 몬스터의 등장
내가 가는 길이 기리 빛이 나리 way
어깨 펴고 난 Going going gone (gone)
바통 받고 준비 완료
후다닥 Run Run Run Run

누가 날 막아 난 더 세게 밟아 너네가 좀 알아서 비켜
순진한 척 나는 그딴 거 안 해 날 원해? but look in the mirror
지치지 않아 계속 volume up, light em up
무대 위를 태워 싹 다 치워버려 homerun
Like a Boss Baby Imma Boss Baby
모두 다 찢어 Iike brrra

Remember Me
Sting like a bee
무대를 갖고 노는 우린 MVP

네 맘 빼고 다른 것은 원하지 않아
I would never do you wrong
You’ll regret it when I’m gone

You 
좀 더 강하게
더 빠르게
날려 버릴게

You
Got a lot to say
What a big mistake

Batter Batter Batter Up
Batter Up Batter Up Batter Up
Batter Batter Batter Up
Batter Up Batter Up Batter Up
Batter Batter Batter Up

So listen up, everybody
소릴 높여 Move on
We are the Monsters of the world
Batter up 지금 당장
뛰어보자 어디든
Let me show you who we are
(Batter up up up up)

Everybody
소릴 높여 Move on
We are the Monsters of the world
Batter up 지금 당장
뛰어보자 어디든
Let me show you who we are
(Batter Batter Batter up)

#BABYMONSTER #베이비몬스터 #DigitalSingle #BATTER_UP #MV #OUTNOW #YG

Available @ https://BABYMONSTER.lnk.to/BATTERUP

More about BABYMONSTER @
Official YouTube https://www.youtube.com/@BABYMONSTER
Official Instagram https://www.instagram.com/babymonster_ygofficial
Official Facebook https://www.facebook.com/BABYMONSTER.ygofficial
Official Twitter https://twitter.com/YGBABYMONSTER_
Official TikTok https://tiktok.com/@babymonster_yg_tiktok
Official Weibo https://weibo.com/u/7811488144
Official bilibili https://space.bilibili.com/3493127232948989",Batter up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up ,olDWm2veCrM,https://www.youtube.com/embed/olDWm2veCrM
24,[#신랑수업] 남친이랑 놀러 갔는데 친누나 4명이 따라왔다💦?! 사실은 소영이가 준비한 5남매 완전체 모임❤️ #신성소영 #시누이 | 요즘남자라이프 신랑수업 92 회,채널A 캔버스,https://www.youtube.com/watch?v=pkXGGfb7oQQ,https://www.youtube.com/channel/UCaZS_XwAu1yBMNoQDD1mR7g,263600,2226,https://img.youtube.com/vi/pkXGGfb7oQQ/hqdefault.jpg,PT12M36S,"갑작스러운 시월드 OPEN(?)에 당황한 소영이?
신성이 준비한 저녁 만찬과 함께 
누나들의 화끈한 질문들이 이어지는데..! 

#신랑수업 #신성 #소영 #신성소영 #시누이 #가평 #결혼 #시월드 #상견례

어디에서도 볼 수 없었던 요즘 남자 라이프
[신랑수업] 매주 수요일 밤 9시 30분 방송",소영이가 너무 보고 싶어서 새벽부터 왔다고 했는데 이렇게 빨리 와 가지고 너무 놀랐다고 한다. 엄마가 꽃을 사가지고 갔는데 엄마가 너무 좋아 하는 거 같다고 했다. 그런데 엄마가 왜 이렇게 빨리 와 가지고 엄마가 너무 미안하다고 했다.,pkXGGfb7oQQ,https://www.youtube.com/embed/pkXGGfb7oQQ
10,김동률 (Kim Dong Ryul) - 옛 얘기지만 (After All This Time) (Official Lyric Video),김동률 KIM DONG RYUL,https://www.youtube.com/watch?v=0k8SJJOLapY,https://www.youtube.com/channel/UC0QLlya0ouABayHyzwt6MqA,98524,5698,https://img.youtube.com/vi/0k8SJJOLapY/hqdefault.jpg,PT3M26S,"김동률 (Kim Dong Ryul) - 옛 얘기지만 (After All This Time)
: https://lnk.to/KimDongRyul_AfterAllThisTime

Follow 김동률 (Kim Dong Ryul):
http://www.facebook.com/yulmonologue​
http://www.instagram.com/yulmonologue​

Lyrics:
옛 얘기지만
다 지나버린 얘기지만

느닷없이 또 날 괴롭혔고
곱씹으면 다 알 것 같아
그래서 더 난 미치겠어

왠지 모를 화가 났었고
그날따라 난 아이 같았고
하지 말아야 할 말과 눈빛 말투 몸짓 
모두 네게 쏟아냈지

넌 아무 말도 하지 않았지
그처럼 슬픈 눈을 하고선 
차라리 나에게 화라도 냈담
그럼 난 편했을까
그렇게 내게 벌을 준 걸까

먼 얘기지만
이룰 수 없는 얘기지만

버릇처럼 또 난 떠올렸고
셀 수도 없이 고치고 또 바꾸고 빌고
그런 헛된 상상 속에

넌 아무 말도 하지 않았지
그 대신 나를 안아 주었지
차라리 나에게 화라도 냈담
그럼 널 잊었을까
그렇게 내게 벌을 준 걸까

#김동률 #KimDongryul #옛얘기지만 #AfterAllThisTime",옛 얘기지만 다 지나버린 음악 이야기지만 갑자기 또 날 괴롭혔고 곱씹으면 다 알 것 같아 더 미치겠 왠지 모를 확 나는 것 같았고 그날 따라 난 하이 음악 같았고 하지 말아야 할 말과 눈빛 말투 몸치 모두 내게 쏟아내지 넌 아무 말도 하지 았지 그처럼 슬픔들을 하고서 차라리 나에게 화하도 내다 그런 난 편했을까 그렇게 내게,0k8SJJOLapY,https://www.youtube.com/embed/0k8SJJOLapY
