Category,Title,Channel,Video Link,Channel Link,Views,Likes,Thumbnail,Duration,Description,Summary
23,한국에서 결혼할 때 생기는 갈등,잠깐밈 - 1분간 재밌게봐,https://www.youtube.com/watch?v=yudChsWp-zk,https://www.youtube.com/channel/UCKDU7mZPRarBm8-8hOgtAFw,3546627,77934,https://img.youtube.com/vi/yudChsWp-zk/hqdefault.jpg,PT58S,#snl #snl코리아 #구구단 #하나 #정상훈 #김준현 #안영미 #결혼준비,우리 둘이 행복한 결혼 하고 싶다고 해서 스몰 웨딩 하려고 생각 중이다 우리 둘이 행복한 결혼 하고 싶다고 하니 보여주기 시 말고 그냥 우리 둘이 행복한 결혼 하고 싶다고 했다 지랄하고 자빠졌네 아주 지랄하고 자빠졌다 아주 지랄하고 있다
22,여자가 시계를 보고 남편에게 화낸 이유 #shorts  #남편 #의사,썰공주,https://www.youtube.com/watch?v=NKjpxhSK-M0,https://www.youtube.com/channel/UCPRP0Yt9IH_emCymNrX4-dw,748632,24043,https://img.youtube.com/vi/NKjpxhSK-M0/hqdefault.jpg,PT32S,#shorts,남녀가 거사를 치르고 있었는데 여자가 남자의 머리 위에 거대한 시계가 떨어지는 것을 보고 시계 시계라고 하자 남자는 더 세게 하였다 결국 거대한 시계가 떨어져 남녀는 시계에 깔려 죽었다.
23,[빵빵이의 일상] 옥지의 유혹,빵빵이의 일상,https://www.youtube.com/watch?v=tmfVyV26vcs,https://www.youtube.com/channel/UCI2T1_bAtgnKKzfhw3Qib9w,1372309,61759,https://img.youtube.com/vi/tmfVyV26vcs/hqdefault.jpg,PT1M,"기획/대본: 이주용, 장예빈
애니메이션: 이주용, 허영현, 하현준, 김민석, 윤준식, 황보현정
배경/3D: 추헌주, 강민주",주인장 오줌 싸러 갔어요 그럼 네가 말아봐 내가 깔라는 콤 달콤한 건 붕어빵 착착착 개판이구만 뭐라 했냐 씨발놈 이렇게 하는 거 이렇게 하는 거 이렇게 자 행복해 
24,갱생불가 나락 가버린 계모랑 여동생 #shorts #완벽한결혼의정석,MBN Drama,https://www.youtube.com/watch?v=Sl4OOHnvg50,https://www.youtube.com/channel/UCLqecwv-NjFSJ4gNwUunhTA,597721,8489,https://img.youtube.com/vi/Sl4OOHnvg50/hqdefault.jpg,PT46S,"MBN 주말 미니시리즈 ＜완벽한 결혼의 정석＞ l 회귀 로맨스 복수극

☞ MBN ENT : https://www.youtube.com/@MBN_Entertainment
☞ MBN DRAMA : https://www.youtube.com/@Drama_MBN",이주가 준 서류는 다 가짜라고 이주가 준 거 아니라고 내가 직접 검사한 거라고 이주가 정말로 내 친딸이라고 그게 무슨 소리야 말이 안 된다 말이 안 된다 말이 안 된다 말이 안 된다 말이 안 된다 말이 안 된다.
22,길바닥에 꽁초 버리는 사람 참교육 하기 #shorts #힘쎈여자도봉순 #박보영 #박형식,1분드라마모음zip,https://www.youtube.com/watch?v=lyotKRJm7TI,https://www.youtube.com/channel/UCxr89be3loUcLGYCAIcj-yw,1038972,18359,https://img.youtube.com/vi/lyotKRJm7TI/hqdefault.jpg,PT58S,#shorts #힘쎈여자도봉순 #힘쎈여자강남순 #박보영 #박형식,아저씨들이 담배 공초 버리지 말라는데도 아저씨들이 담배 공초 버리지 말라는데도 계속 버렸어요 아씨이라 이씨 따아 빨리가 닦아이 미 따까 왜 어때 들어와 어 빨리 쳐 어 빨리 쳐
22,태권도 5단 이수근의 발차기 실력ㄷㄷ #shorts,1분예능모음zip,https://www.youtube.com/watch?v=ldtuYSf_hnU,https://www.youtube.com/channel/UC8pqfCpRwtOeVG3lfvlkb9w,627777,7358,https://img.youtube.com/vi/ldtuYSf_hnU/hqdefault.jpg,PT31S,#shorts #이수근 #김희철 #이상민 #서장훈 #강호동 #아는형님,수근형 이런 거 잘해 발이 더 안 나와 발은 9천 나와야 한다 손으로 발 더 발 손으로 발 더 발 손으로 발 더 발 손으로 발 더 발 손으로 발 더 발 손은 9천 나와야 한다 DA <extra_id_23> <extra_id_24> <extra_id_25> <extra_id_26> <extra_id_17> 
24,"[sub] 천상계, 인간계 배우의 작품 썰 | 🔥나영석의 지글지글",채널십오야,https://www.youtube.com/watch?v=CCZqax6-QbE,https://www.youtube.com/channel/UCQ2O-iftmnlfrBuNsUUTofQ,1652600,21055,https://img.youtube.com/vi/CCZqax6-QbE/hqdefault.jpg,PT19M57S,"그래그래 형들은 연기만큼 고기도 잘 구워

#채널십오야 #지글지글 #유료광고포함
#황정민 #정우성 #서울의봄",형은 영화를 잘 보기는 하지만 외국 영화는 별로 안 좋아하고 한국 영화는 많이 보는데 그 중 영화 기생충은 잘 못 봤다고 했다.
22,박보영의 사소한 발견이 낳은 예상치 못한 결과ㄷㄷ #정신병동에도아침이와요,숏스핀,https://www.youtube.com/watch?v=pyvdzdxHEm4,https://www.youtube.com/channel/UC1tKpqGb3-iXFRrJDL-AEtA,1159298,29245,https://img.youtube.com/vi/pyvdzdxHEm4/hqdefault.jpg,PT57S,#shorts #정신병동에도아침이와요  #넷플릭스 #박보영 #연우진 #장동윤 #이정은,상태가 호전되고 안되고는 병을 인식하는 것이 중요해 병식이 있는데도 그 병기에 계속 숨어 있다는 건 환자 입장에서도 도움이 안 돼 무슨 일 있으면 연락 달라고 했다.
24,임시완 EP.16 술판에서 신세지면 벌어지는 일?!,짠한형 신동엽,https://www.youtube.com/watch?v=ovKQRA59gC0,https://www.youtube.com/channel/UCikSO7mSQl-lx3BJOBzqA8w,512499,9445,https://img.youtube.com/vi/ovKQRA59gC0/hqdefault.jpg,PT27M52S,"#임시완 #신동엽 #정호철 #아웃백 #소년시대

짠순이, 짠돌이 분들을 아웃백 하우스파티에 초대합니다.💝
연말 기념 아웃백 할인 쿠폰 받으시고
맛있는 스테이크가 사는 집, 아웃백에서 행복한 연말 보내세요! ✨

✅ 일 한정 메뉴 '인피니티 킹마호크 스테이크' 보러가기 https://zrr.kr/JnD9
✅ 입안 풍미 가득 '포터하우스 스테이크' 보러가기 https://zrr.kr/nuoN
✅ 아웃백 하우스파티 2만원 쿠폰 받으러 가기 https://zrr.kr/OYxU



1년 365일 중 360일 짠하는(🍻) 신동엽의
본격 만취 토크쇼!
[짠한형 신동엽]

고품격 게스트와 즐기는 날 것 그대로의 방송(🥂)
신동엽과 짠하시렵니까?

매주 월요일 저녁 6시 새로운 짠 공개!
(가끔 목요일에도 옵니다)
구독 (🍺) 좋아요 (🍷) 알림설정 꼭이요~

이메일 : zzanbro23@gmail.com
인스타그램 : www.instagram.com/zzanbro

※본 영상과 무관한 내용의 댓글과 출연자에 대한 무분별한 욕설, 조롱, 비난 등 악의적인 댓글은 무통보 삭제될 수 있습니다.",아웃백 스테이크 하우스는 두 가지 부위를 함께 즐기는 프리미엄 스테이크로 안심과 채끝 등심을 함께 즐길 수 있다.
1,할배! 화내지 마세요! #국제시장,무비옹,https://www.youtube.com/watch?v=H0Jyz2yMtXo,https://www.youtube.com/channel/UC-uZfUDtjf4XpnZzbWV-Yzg,1538083,26084,https://img.youtube.com/vi/H0Jyz2yMtXo/hqdefault.jpg,PT51S,#shorts #국제시장 #황정민 #김윤진 #오달수 #정진영 #라미란 #김슬기,할배가 화내면 무서워요 기억이 뭐야 오래돼도 잊혀지지 않고 오래돼도 잊혀지지 않는 기억이 있다 할배 화내지 마세요 할배가 화내면 무서워요 할배 화내지 마세요 할배가 화내면 무서워요 
