Category,Title,Channel,Video Link,Channel Link,Views,Likes,Thumbnail,Duration,Description,Summary
25,"""나만 빼고 사면"" 열받은 최서원..폭로전 나서나 [뉴스.zip/MBC뉴스]",MBCNEWS,https://www.youtube.com/watch?v=ErCkI-CEKeg,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw,1323171,17259,https://img.youtube.com/vi/ErCkI-CEKeg/hqdefault.jpg,PT7M4S,"00:00 '비선 실세' 최서원, ""다 풀려났는데‥나도 사면해달라"" (2023.11.22/뉴스데스크/MBC)
01:55 [오늘 이 뉴스] ""주변 살피지 못해..정말 후회스럽다"" ""윤석열 검사의 집권은.."" 박근혜 첫 인터뷰 (2023.09.26/MBC뉴스)
04:51 김기춘·우병우·'문고리 3인방'까지‥'국정농단' 무더기 사면·복권 (2022.12.27/뉴스데스크/MBC)

#최서원 #국정농단 #사면요구",박 전 대통령은 국정농단 의혹과 관련해 최 씨가 재단에 낸 출연금이 제 3자 뇌물죄로 인정된 것을 두고 납득할 수 없다며 자신의 탄핵과 관련해 맡겨 준 직분을 끝까지 해내지 못했다고 사과했다.
25,"[특집 보도] 김건희,  디올에 이어 또 샤넬까지! (S.3)",서울의소리 Voice of Seoul News,https://www.youtube.com/watch?v=OoyUsbb2Fzs,https://www.youtube.com/channel/UCUxTPRSns--l5BX2537u7Rw,363561,17110,https://img.youtube.com/vi/OoyUsbb2Fzs/hqdefault.jpg,PT58S,"유튜브 수익창출이 정지된 서울의소리는 광고없이 후원으로만 운영되어 재정에 어려움을 겪고 있습니다. 정상 운영을 위해 정기후원을 호소드립니다.  서울의소리는 2004년부터 지금까지 20여년 동안 어떠한 탄압에도 그 뜻을 굽히지 않고 노무현 대통령 탄핵 반대, 이명박 구속, 박근혜 탄핵에 앞장서 왔습니다. 현제도 파렴치한 범죄자 윤석열 탄핵과 국정농단 김건희 구속 투쟁에 온몸을 던지고 있습니다. 여러분의 소중한 후원이 있기에 지금의 서울의소리가 있습니다. 감사합니다.
✅정기후원: https://www.ihappynanum.com/Nanum/B/VMPSQLK1TY
✅ 일시후원: 국민은행 794001-04-154041 서울의소리(강경자) 
✅ 전화후원: 1877-1590 
✅ 페이팔 후원: https://www.paypal.com/paypalme/seoul1219
✅ 페이팔 정기후원: https://docs.google.com/forms/d/e/1FAIpQLSfP18Q5umS1-KGOhj6ijTden8WUpNfDitPLys8eKRd_bPzlWw/viewform
✅김건희 다큐 '퍼스트 레이디' 제작 리워드 펀딩 신청하기:
https://docs.google.com/forms/d/e/1FAIpQLSc22E1onwTVUHQWk63lE1Gm6JS1ekvsMjyos1z1KKQr3gbe7g/viewform

문의 : 010 3731 9285 
입금 계좌 :  국민은행 820801-04-120611 (강경자)
금액 3만원 (시사회 티켓 2매) 
         5만원 (시사회 티켓 2매 + 포토 제작 에세이집)
        일반 후원 (통큰 후원 / 소액 후원)

✅서울의소리 서브 채널 “서울의소리 초심” https://www.youtube.com/@chosim_baek 구독과 좋아요 알림 설정과 선한 댓글 부탁드립니다. 
✅윤석열 퇴진을 위한 범국민운동본부 다음 카페: ​https://cafe.daum.net/antimb/HXck
✅응징언론 서울의소리 보기: http://amn.kr

▲ 서울의소리 정규 방송 안내 ▲
△ 월~금 오전 6시 30분 :  류효상의 〈신.통.알〉
△ 월~금 오전 8시 :  유용화의 〈뉴스 코멘터리〉
△ 월~금 오전 11시 : 박영식의 〈일레븐 11:11〉
△ 월요일 오후 4시 :  백은종 양희삼 안진걸의 〈탄핵속으로〉
△ 화, 목 오후 1시 :  백현빈의 〈정면돌파〉
△ 화요일 오후 3시 :  정영훈의 〈촛불 시사 시 한방〉
△ 화요일 오후 5시 :  백은종 정대택의 〈응징의 부활〉
△ 화요일 오후 7시 :  이정헌의 〈아침이 설레이는 대한민국〉
△ 화요일 오후 8시30분 :  양희삼의 〈희망공장〉
△ 수요일 오후 1시 :  고상만의 〈수사반장〉
△ 수요일 오후 3시 :  김태형, 백자의 〈ㅆㄷㄱ〉
△ 수요일 오후 5시 :  남태우 박진영 윤선희 〈체게바라의 노래〉
△ 목요일 오후 2시 :  조병현 교장의 〈단재학당〉
△ 목요일 오후 3시 :  김맹구 구산하의 〈선을 넘는 사람들〉
△ 목요일 오후 5시 :  오창익의 〈오!다방〉
△ 목요일 오후 5시 :  윤석열탄핵 김건희구속 용산집회
△ 목요일 오후 7시 : 구본기의 〈더민주혁신 혁얼소〉
△ 목요일 오후 8시30분 : 이은영 이경 오현정의 〈엄마정치〉
△ 금요일 오후 1시 : 박진영의 〈주간 박진영〉
△ 금요일 오후 3시 : 백은종 정대택의 〈응징의부활〉
△ 금요일 오후 5시 : 전수미 변호사의 〈외신의소리〉",최 목사는 김 여사에게 샤넬 향수화 화장품 세트를 선물했고 김 여사는 최 목사가 보는 앞에서 샤넬 화장품과 향수를 확인했다고 한다 
25,무죄 받은 유동규 “최종 수혜자는 이재명” | 뉴스TOP 10,채널A 뉴스TOP10,https://www.youtube.com/watch?v=ExeE3a2BvnM,https://www.youtube.com/channel/UCIIpmDPVk7nzNHEUSHmvkUg,453236,11168,https://img.youtube.com/vi/ExeE3a2BvnM/hqdefault.jpg,PT29M41S,"무죄 받은 유동규 “최종 수혜자는 이재명”

■ 방송 : 채널A 뉴스 TOP10 (17시 20분~19시)
■ 방송일 : 2023년 11월 30일 (목요일)
■ 진행 : 김종석 앵커
■ 출연 : 노동일 파이낸셜뉴스 주필, 설주완 민주당 법률위 부위원장, 이현종 문화일보 논설위원, 정혁진 변호사

[김종석 앵커]
1심 재판부가 오늘 인정한 뒷돈의 흐름들이 어떻게 됐는지 자세히 따져볼 필요가 있습니다. 총 네 차례에 걸쳐서 6억이 전달된 정황이 있다. 크게는 대장동 일당으로부터 중간에 유 전 본부장 거쳐서 김용 전 부원장까지. 2021년 1차, 1억. 두 번째 6월 초에 5억. 1억 쓰고 1억 보관했다. 3차 6월 말 7월 초 1억. 보관 1억에 1억 추가해서 2억 했다. 4차에 1억 4700만 원이 갔지만 전달이 안 됐다. 총 6억 원이다. 이 부분인데 사실은 재판부의 판단도 이 6억을 다 인정하면서 이 기간에 좀 2021년 4, 5, 6 봄. 이재명 대표의 대선 경선을 앞둔 시점에 그것을 좀 주목한 것 같거든요.
--------------------------------------------
* 위 텍스트는 실제 토크 내용의 일부분입니다. 전체 토크 내용은 동영상으로 확인하시기 바랍니다.
* 정리=김지현 인턴

○ 기사 보기
https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000380242

▶채널A뉴스 구독
https://www.youtube.com/tvchanews?sub_confirmation=1

[채널A 뉴스·시사 프로그램｜유튜브 라이브 방송시간]

〈평일〉
08시 00분 라디오쇼 정치시그널 (유튜브 라이브)
08시 50분 김진의 돌직구 쇼
10시 20분 김진의 더라방 (유튜브 라이브)
12시 00분 뉴스A 라이브
15시 50분 강력한 4팀
17시 20분 뉴스TOP10
19시 00분 뉴스A

〈주말〉
12시 00분 토요랭킹쇼·뉴스A 라이브
17시 40분 뉴스TOP10
19시 00분 뉴스A

#채널A뉴스 #유동규 #이재명

▷ 홈페이지 http://www.ichannela.com/news/main/news_main.do
▷ 페이스북 https://www.facebook.com/channelanews
▷ 카카오스토리 https://story.kakao.com/ch/channelanews",김 씨가 불법 정치자금을 받은 것에 대해 재판부가 인정을 했다면 대선 경선 자금으로 적재 적수에 썼는지 검찰이 확인해야 한다.
25,"""부산엑스포 참패 이유가 뭐냐"" 박진에게 3번 묻다 폭발한 박병석",팩트TV NEWS,https://www.youtube.com/watch?v=_xWRLs8vpC4,https://www.youtube.com/channel/UC1ihKJ6GH37xoWdtllZqhLw,492346,10426,https://img.youtube.com/vi/_xWRLs8vpC4/hqdefault.jpg,PT6M57S,"2023년 11월 30일 국회에서  
외교통일위원회 전체회의가 진행되었다.

#팩트TV #보도채널 추진
언론독립! 팩트TV 보도채널 진출을 위해 깨어있는 시민들의 국민주주 참여를 요청합니다.
#국민주주 참여하기 : http://facttvgood.kr
#국민주주 제안영상 : https://youtu.be/6J-IdPc6e8M

#팩트TV 정기후원회원이 되어주세요.
공식후원계좌▶ 우리은행, 1002-142-508338 이상엽
ARS신청 1877-0411, 직접신청 https://goo.gl/1OjzfE

팩트TV 채널 멤버십에 가입하여 혜택을 누려보세요.
https://www.youtube.com/channel/UC1ihKJ6GH37xoWdtllZqhLw/join

이 영상의 저작권은 팩트TV에 있습니다. 본 영상물은 공유 및 소스코드 배포에 한해 허용합니다. 그 외 임의적인 편집 및 가공은 영상출처를 밝힌다해도 본사의 허락없 이 사용할 경우 저작권법 위반에 해당합니다. 팩트TV http://facttv.kr
촬영 : 배희옥, 김대왕, 김준영",박 의장은 엑스포 유치에 관해 원팀 코리아가 돼서 대통령부터 재개까지 한몸이 돼서 뛰었다는 긍정적 측면이 있지만 정부의 판단이 빗나간 데에 대해서는 안타깝게 생각한다고 했다.
25,"[신장식의 뉴스하이킥] 2030엑스포 사우디 리야드로, 부산 2035년 재도전? - 홍익표, 헬마우스&장윤선, 오윤혜, 이언주, 박태웅",MBC 라디오 시사,https://www.youtube.com/watch?v=MpmHeTqEcEk,https://www.youtube.com/channel/UCTTmtS2ljy1vyl_s-d_LEHQ,311903,12439,https://img.youtube.com/vi/MpmHeTqEcEk/hqdefault.jpg,PT2H20M23S,"1129 (수) 뉴스하이킥 방송내용

1-2부 

[이슈 하이킥]
본회의 앞두고 ‘탄핵안’ 극한 대치.. 민주당 카드는?
-  홍익표 더불어민주당 원내대표📞

[뉴스 신세계]
1) 尹 대통령 “부산엑스포 유치 실패, 전부 저의 부족”
2) 민주당 ‘선거제 개편’ 몸살.. 의총도 연기
3) ‘울산시장 선거 개입’ 송철호·황운하 1심서 징역 3년
- 헬마우스 임경빈 작가, 장윤선 정치전문기자

[하프타임]
- 방송인 오윤혜

3-4부 

[신장식의 오늘] 

[고수를 만나다]
부산엑스포 유치 실패 후폭풍, 책임은 어디에?
- 이언주 전 국민의힘 의원

[특.수.통]
행정망 연쇄 마비, 흔들리는 ‘디지털 정부’?
-  박태웅 한빛미디어 이사회의장

| 신장식의 뉴스 하이킥 |

◇ 홈페이지: https://www.imbc.com/broad/radio/fm/newshigh/
◇ 네이버TV: https://tv.naver.com/mbc.mbcradionewsntalk

#MBC라디오 #신장식의뉴스하이킥 #뉴스하이킥 #시사라디오 #신장식",민주당 소속 의원의 절반에 가까운 75명이 위성정당 방지법 당론 채택을 요구하는 기자 회견을 가졌다.
25,"""진기명기인 줄 알았어요""…다리에 끼인 15톤 덤프트럭 #shorts / KBS",KBS News,https://www.youtube.com/watch?v=BT2GyfOR0eA,https://www.youtube.com/channel/UCcQTRi69dsVYHN3exePtZ1A,1098159,9332,https://img.youtube.com/vi/BT2GyfOR0eA/hqdefault.jpg,PT48S,"짐칸이 위쪽으로 들린 채로 도로를 달리던 덤프트럭. 결국, 다리 아래를 지나가지 못하고 그대로 끼어 버리는 아찔한 사고가 발생했습니다.

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색 
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr

#shorts #교통사고 #덤프트럭",경북구미시 거의 동에서 도로를 달리던 15톤 화물트럭이 다리 아래에 끼었고 이 사고로 트럭 운전자인 60대 남성 한 명이 가벼운 부상을 입었습니다 
25,[여랑야랑]“선배가 사준 술” / 또 고민정 실수? | 뉴스A,채널A 뉴스,https://www.youtube.com/watch?v=wlHyHu6nAsE,https://www.youtube.com/channel/UCfq4V1DAuaojnr2ryvWNysw,312502,7217,https://img.youtube.com/vi/wlHyHu6nAsE/hqdefault.jpg,PT4M57S,"[여랑야랑]“선배가 사준 술” / 또 고민정 실수?

Q. 윤수민 기자와 여랑야랑 시작합니다. 첫 번째 주제 보겠습니다. 요즘 맞붙는 두 사람인데요. 송영길 전 대표가 한동훈 장관에게 한 말인가봐요. 선배가 사준 뭔가요? 

Q. 거기에 대해서 오늘 송 전 대표가 입장을 밝힌 거에요? 

Q. 누가 사주든, 간 게 문제라는 건데요. 송 전 대표가 언급한 선배 정치인들은 뭐라고 하나요? 
 
Q. 두 사람 NHK 유흥주점 공방으로 2라운드에 접어든 것 같네요. 

Q. 다음 주제 보겠습니다. 고민정 의원, 또 실수를 했나요. 
 
Q. 도대체 뭘 실수했길래 철회까지 했나요? 

Q. 방통위원장 탄핵 사유인데, 검찰청법을 든 거군요. 

Q. 어이없는 실수네요. 

Q. 고 의원은 뭐라고 해요? 

○ 기사 보기
https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000380266

▶채널A뉴스 구독
https://www.youtube.com/tvchanews?sub_confirmation=1

[채널A 뉴스·시사 프로그램｜유튜브 라이브 방송시간]

〈평일〉
08시 00분 라디오쇼 정치시그널 (유튜브 라이브)
08시 50분 김진의 돌직구 쇼
10시 20분 김진의 더라방 (유튜브 라이브)
12시 00분 뉴스A 라이브
15시 50분 강력한 4팀
17시 20분 뉴스TOP10
19시 00분 뉴스A

〈주말〉
12시 00분 토요랭킹쇼·뉴스A 라이브
17시 40분 뉴스TOP10
19시 00분 뉴스A

#채널A뉴스 #뉴스A #여랑야랑 #윤수민기자 #NHK유흥주점 #탄핵소추안

▷ 홈페이지 http://www.ichannela.com/news/main/news_main.do
▷ 페이스북 https://www.facebook.com/channelanews
▷ 카카오스토리 https://story.kakao.com/ch/channelanews",송 전 대표는 NHK 유흥주점 사건에 대해 송 전 민주당 대표가 해명을 했다 송 전 대표는 송 전 민주당 대표가 술을 사줬다고 했다 송 전 대표는 송 전 민주당 대표가 당황한 기색을 보였다 
25,"[TV CHOSUN LIVE] 11월 30일 (목) 박정훈의 정치다 - '李 측근' 김용, 징역 5년에 법정구속",뉴스TVCHOSUN,https://www.youtube.com/watch?v=8JZpiWcPe8k,https://www.youtube.com/channel/UCWlV3Lz_55UaX4JsMj-z__Q,164518,6260,https://img.youtube.com/vi/8JZpiWcPe8k/hqdefault.jpg,PT1H34M30S,"[TV CHOSUN LIVE] 11월 30일 (목) '박정훈의 정치다' 
  
● '李 측근' 김용, 징역 5년에 법정구속
● 이재명 ""재판 끝 아냐…지켜볼 것""
● 유동규는 무죄…""수혜자는 이재명""
● 송영길-한동훈, 또 설전
● 이동관 탄핵안 국회에 보고…전운

📡 월~금 07:30 뉴스퍼레이드
📡 월        08:40 네트워크 매거진
📡 월~금 09:00 신통방통 
📡 월~금 13:00 보도본부 핫라인
📡 월~금 14:30 사건파일 24
📡 월~금 17:20 박정훈의 정치다
📡 월~금 21:00 뉴스9
📡 토~일 14:00 뉴스현장
📡 토~일 19:00 뉴스7

[Ch.19]  사실을 보고 진실을 말합니다.

👍🏻 공식 홈페이지 http://news.tvchosun.com/
👍🏻 공식  페이스북 https://www.facebook.com/tvchosunnews/
👍🏻 공식 트위터 https://twitter.com/TVChosunNews

* 뉴스제보 : 이메일(tvchosun@chosun.com), 카카오톡(tv조선제보), 전화(1661-0190)",김 전 원장이 불법 정치자금을 받은 혐의로 징역 5년을 선고받고 법정 구속이 됐는데 이 대표의 최측근이 불법 정치자금을 받은 혐의로 실형을 선고받았다 점에서 의미가 적지 않다.
22,이재명과 한 패거리 법원장을 끌고와서 두들겨 패는 김도읍,애국자 박정희 대통령,https://www.youtube.com/watch?v=H8HO82GJImE,https://www.youtube.com/channel/UCM8INpQ8Ui9H7czQIih3j4A,225175,14121,https://img.youtube.com/vi/H8HO82GJImE/hqdefault.jpg,PT32S,.,사법부 대법관과 유창은 판사 다 말도 안 되는 논리를 보여준다 이 대표의 위정 사건이 사회에 미치는 영향이 큰 사건인지 사회에 미치는 영향이 크다고 할 수 없다 김 판사를 응원한다
25,"""엄마, 내가 이름 봤어""…수능 사상 초유의 일 '소름 끼쳐' #뉴스다 / JTBC News",JTBC News,https://www.youtube.com/watch?v=yt5_qRuxyfQ,https://www.youtube.com/channel/UCsU-I-vHLiaMfV_ceaYz5rQ,4263340,25989,https://img.youtube.com/vi/yt5_qRuxyfQ/hqdefault.jpg,PT8M47S,"0:00 ""네 인생 망가뜨릴 거야""…수능 감독관 협박한 학부모, 왜? (11.24 사건반장)
7:08 이주호·조희연, '수능 감독관 협박' 학부모 공동 고발키로 (11.24 뉴스룸)

※ JTBC News '뉴스다'는 '다' 모은 뉴스의 의미로, 정치·경제·사회·국제 등 시청자들의 다양한 관심사를 모아 전달하는 큐레이션 콘텐트입니다.

📌 시리즈 더 보기 https://youtube.com/playlist?list=PL3Eb1N33oAXhsGVRH6QUWoGk3q7PnhjtT

📢본방 후 유튜브에서 앵커들과 더 가까이! 
☞JTBC 모바일라이브 시청하기 https://www.youtube.com/@jtbc_news/streams

☞JTBC유튜브 구독하기 (https://www.youtube.com/user/JTBC10news)
☞JTBC유튜브 커뮤니티 (https://www.youtube.com/user/JTBC10news/community)

#JTBC뉴스 공식 페이지
(홈페이지) https://news.jtbc.co.kr
(APP) https://news.jtbc.co.kr/Etc/SmartPhoneReport.aspx

페이스북 https://www.facebook.com/jtbcnews
트위터 https://twitter.com/JTBC_news
인스타그램 https://www.instagram.com/jtbcnews

☏ 제보하기 https://news.jtbc.co.kr/Etc/InterNetReport.aspx
방송사 : JTBC (https://jtbc.co.kr)",수능 시험장에서 한 교사가 시험 종료령이 울린 뒤에도 답안지에 체크를 하고 있던 수험생을 적발해 시험 종료령이 울린 뒤에도 답안지 작성이나 수정을 하면 부정행위가 되기 때문에 무효 처리가 된다.
