Category,Title,Channel,Video Link,Channel Link,Views,Likes,Thumbnail,Duration,Description,Summary
22,투명 컴퓨터 만드는 법,일분일초,https://www.youtube.com/watch?v=0a07xEb-RSg,https://www.youtube.com/channel/UCF24NMvY6K0wUUaRR2jscQA,2088937,46225,https://img.youtube.com/vi/0a07xEb-RSg/hqdefault.jpg,PT53S,.,베이시 클리 홈리스는 책상 위에 아무것도 없는 투면 PC를 만들고 싶어 책상에 홈을 파 키보드를 넣고 그 위에 액체 플라스틱 레진을 씌우고 감쪽같이 페인트 치을 했다.
28,게이밍 컴퓨터를 샀다면 반드시 확인해야 할 것,눈쟁이,https://www.youtube.com/watch?v=nQd7apsS4vs,https://www.youtube.com/channel/UCJiv3w22pf4Cgpwxo70MbhQ,1099361,38345,https://img.youtube.com/vi/nQd7apsS4vs/hqdefault.jpg,PT1M,"🔧 방송 세팅 문의 : https://url.eyejoker.com/EJsetup
💬 눈쟁전자 커뮤니티 : https://eyejoker.com
📊 눈쟁DB : https://eyejokerdb.com/
👁‍🗨 눈쟁이 디스코드 : https://discord.gg/eyejoker
📺 생방송 : https://www.twitch.tv/eyejoker7

👷 소소한 혜택을 즐길 수 있는 눈쟁전자 직원되기 : https://url.eyejoker.com/EJJoin
💳 눈쟁전자 컴퓨터 추천견적 : https://url.eyejoker.com/EJComputer
🖥️ 컴퓨터를 구매하려면? : https://url.eyejoker.com/Oversystem
⚙️ 제가 쓰는 장비가 궁금하다면? : https://url.eyejoker.com/EyejokerSetup

📧 광고 문의 : marketing@eyejoker.com

#shorts",CPU 아고 프로그램을 다운받아 튜닝램 중에 고수 메모리데이 활성화 시키기만 하면 되는데 트락 보드 바이오스에서 활성화를 시킬 수 있다.
24,의견 갈리는 아이패드 수리비,숏튜브,https://www.youtube.com/watch?v=jS_kx1DC9go,https://www.youtube.com/channel/UCS-uWd5JJWTDByy1OsLpEVA,596910,18013,https://img.youtube.com/vi/jS_kx1DC9go/hqdefault.jpg,PT42S,#shorts,아이패드 주인에게 연락하니 본인이 애플케어를 들던 말든 내 알바가 아니라며 수립비 124만 원을 주거나 아이패드를 새걸로 사 조어 교체해 달라고 했다.
26,핸드폰 충전을 안 해도 되는 방법,발명킹밥테일,https://www.youtube.com/watch?v=lanUhKKBCmI,https://www.youtube.com/channel/UC4qBREGSlrlzlnU98fz2odg,8320773,99503,https://img.youtube.com/vi/lanUhKKBCmI/hqdefault.jpg,PT59S,"핸드폰 충전을 안 해도 되는 방법을 알려드립니다!!

🙏구 독 감사합니다!  https://goo.gl/60eD84 

E-mail : bobtailyt@gmail.com
instagram : @bobtailytb

#핸드폰 #배터리 #DIY",핸드폰 배터리가 0% 100% 될 수 있게 만들어 보기 위해 핸드폰을 뒤집어서 뒤판에 얇은 카드 같은 도구를 집어넣습니다 이렇게 된 이상 테이프를 붙인 다음 조심히 떼어내고 소중하게 보관한다 
28,애플 M3 Pro는 소문대로 역대급 똥망일까? 맥북프로 14인치 스페이스 블랙 언빡싱!,ITSub잇섭,https://www.youtube.com/watch?v=iAiXZqt9mRE,https://www.youtube.com/channel/UCdUcjkyZtf-1WJyPPiETF1g,340152,4621,https://img.youtube.com/vi/iAiXZqt9mRE/hqdefault.jpg,PT13M45S,"지난번 갑작스럽게 발표되었던 애플실리콘의 새로운 M3 시리즈. 많은 분들께서 궁금해 하시는 M3 Pro를 구입해서 도착 후 테스트해봤는데요, 소문대로 원가절감과 함께 성능이 낮아져 별로일지, 성능은 그대로일지 등 여러가지를 테스트해봤습니다!

🔋 Specs.
모델명 : 애플 맥북프로 14인치
디스플레이 : 14.2인치 16:10 3024x1964 Mini LED
프로세서 : M3 Pro(CPU 11/GPU 14)
RAM : 18GB
저장공간 :512GB
배터리 : 69.6Wh
무게 : 1.55kg
가격 : 2,390,000원~


🎵 BGM.
ES_Jacuzzi - Jobii


⏲️ Timestamps.
00:00 2033년
00:20 오프닝
01:15 언빡싱 전..?
02:59 언빡싱
05:12 M3 Pro 프로세서
07:33 CPU 테스트
08:37 GPU&작업성능 테스트
10:44 발열 테스트
11:15 배터리 테스트
12:19 M3 Pro 맥북프로 14인치를 구입해본 소감


🔖Tags.
#m3pro 
#맥북프로14인치
#언빡싱


💡 Merch.
블랙카우랩스 굿즈를 사고 싶다면?
-https://abit.ly/blackcowlabs


📨 Business contacts.
 itsub@itud.io",M3 프로는 M1 프로와 M2 프로에 있던 고성능 코어를 줄이고 멀티 코어를 늘려 성능이 더 높아졌고 M2 프로와 M3 프로의 성능 차이가 더 컸다.
28,질리도록 써 봤습니다. 갤럭시 Z 플립5 롱텀 리뷰,UNDERkg,https://www.youtube.com/watch?v=SFT2BA5kQNw,https://www.youtube.com/channel/UC_0oo0GPlDUU88ubLDnJkSQ,133212,2590,https://img.youtube.com/vi/SFT2BA5kQNw/hqdefault.jpg,PT19M10S,"- 풀버전 리뷰는 https://bit.ly/46ReE2d
- 갤럭시 Z 폴드5처럼 소소한 개선점의 모임인데, 이건 외부 화면이 확 커져서 소소하지 않아 졌습니다.

물론 1,339,200원의 시작 가격을 생각하면 더 큰 외부 화면이나 메모리 구성 등 바라는게 없는 건 아니에요.
요즘은 경쟁 기종들이 괘 늘어난 데다가, 막 $499에 새 폴더블 폰을 파는 등 보급형 경쟁까지 생기고 있거든요.

그럼에도 불구하고 이런 상하 폴더블 스마트폰 중에서는 아직 최고가 아닌가 합니다.
하지만 간격이 점점 줄어드는 분위기라, 다음 모델은 큰 변화가 필요할 듯.

00:00 - 인사
00:15 - 디자인
01:57 - 디스플레이
06:01 - 성능
07:32 - 소프트웨어
09:12 - 기타 하드웨어
10:37 - 카메라
14:47 - 소리
15:12 - 배터리
16:28 - 정리

-페이스북 http://facebook.com/underkg
-인스타그램 http://instagram.com/underkgshow",플립5는 외부 화면이 커졌고 화면 녹화나 빅스비 루틴을 할 수 있으며 화면 녹화 기능이 더 많아졌다.
26,제리 무선충전기 만들기,사나고 Sanago,https://www.youtube.com/watch?v=Si-BjD287yI,https://www.youtube.com/channel/UCd4FmcWIVdWAy0-Q8OJBloQ,531056,16000,https://img.youtube.com/vi/Si-BjD287yI/hqdefault.jpg,PT9M16S,"● 3D펜 사나고 샵
https://smartstore.naver.com/sanago

● 2021 NEW 사나고 펜 구매하러가기
https://smartstore.naver.com/sanago/products/5528918097

● SANAGO shop (For foreigners)
http://sanago-en.com
● 인스타그램
https://www.instagram.com/sanago_kr/​
● 3D펜카페 [사나고의 3D펜 비밀기지]
https://cafe.naver.com/sanago
● Contact 광고문의
ok@magicstrawberry.co.kr 


각국어 번역 자막 제작 : 컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너,CONTENTSFLY에서 제작되었습니다.
https://www.contentsfly.com​​​​
      
#사나고​​​​ #톰과제리 #3Dpen",맥세이프 충전기를 가지고 충전이 되는 스마트폰 거치대를 만들 것이며 젤리를 먹은 제리 모양으로 만들 것이다 젤리 충전 거치대 완성 후 몸통에 얼굴 면을 붙여 준다 몸통이 상하지 않게 다리를 다듬어 준다 완성된 파츠는 통에 붙여준다 <extra_id_23>
22,애플 아이패드 7세대 CPU 조지는데 뭐냐 이거... 뭐냐니까?.. | 해낮달낮,낮에,https://www.youtube.com/watch?v=di2yCm5PuXE,https://www.youtube.com/channel/UC1sltGDBxbZyiZySoUBu22A,87455,2217,https://img.youtube.com/vi/di2yCm5PuXE/hqdefault.jpg,PT1M,"⭐ 해낮달낮 스튜디오

🔬【디지털 현미경】
48MP 51CM Full Set
▶️https://s.click.aliexpress.com/e/_DeMgjaL

🔥【인두기】
Aifen a9 pro 2023
▶️https://s.click.aliexpress.com/e/_DDVNP9H
QUICKO T12-952 (SET8)
▶️https://s.click.aliexpress.com/e/_DkWlACb

📱【테스터기_정밀 프로브】
ANENG Q1 digital multimeter tester
▶️https://s.click.aliexpress.com/e/_DDwoyub
20A MULTIMETER PEN
▶️https://s.click.aliexpress.com/e/_DnFCCk7

🔥【열화상 카메라】
UTi260b(set2) marco lens
▶️https://s.click.aliexpress.com/e/_DFq9L4B

🪫【파워 서플라이】
30V10A White EU plug
▶️https://s.click.aliexpress.com/e/_DBbNjR9

🔦【UV 램프】
USB 5V TYPE
▶️https://s.click.aliexpress.com/e/_DeOJ3T5

🟦【단열 실리콘 수리 패드】
450mmX300mm
▶️https://s.click.aliexpress.com/e/_DkK3oOr

#애플 #아이패드 #해낮달낮",태블리 트라우마가 있었지만 A10 CPU 뗐다가 붙이기로 결정 유튜브를 통해 5분 만에 CPU 떼는 방법을 습득하였다 CPU 보드 사이에 본드가 있어서 CPU 칩을 들어올렸다...................................... 
23,컴퓨터 발전속도 체감하기.jpg,펀숏,https://www.youtube.com/watch?v=YIAZFR35u8g,https://www.youtube.com/channel/UCJ_IWpRcX8HqTrIdwF4QkFw,418600,8778,https://img.youtube.com/vi/YIAZFR35u8g/hqdefault.jpg,PT47S,#shorts,미국은 1700개의 플레이스테이션 3를 사용해 슈퍼 컴퓨터를 제작했다 직접 컴퓨터를 만드는 것보다 가격과 전력 수비 효율이 압도적으로 좋았기 때문이다 
28,"와C 뭐야 깜짝이야;; 두 눈 의심하게 한 갤럭시 S24 기능, 숨겨진 뒷이야기까지",테크몽 Techmong,https://www.youtube.com/watch?v=kJsgFXvUhMw,https://www.youtube.com/channel/UCFX6adXoyQKxft933NB3rmA,74546,2201,https://img.youtube.com/vi/kJsgFXvUhMw/hqdefault.jpg,PT13M36S,"이번 갤럭시 S24는 성능부터, 최초로 탑재되는 가우스 AI까지 기대되는 점이 정말 많네요.

그래서 이번 영상에서 현재까지 알려진 갤럭시 S24에 대한 정보와, 그 정보가 가지고 있는 의미에 대해 한 번 자세히 살펴봤습니다.

재미있게 봐 주세요 ^^

📧 협업 문의: tcm_biz@naver.com

⏰ Time Stamp
00:00 - 한달 반 남았네요!
00:29 - 디자인 이건 좀 아쉬워
01:39 - 티타늄? 그럼 무게가..
02:05 - 눈을 의심한 성능 테스트 결과
03:19 - 실제 게임 성능은 다를 수밖에 없는 이유
08:11 - 디스플레이, 이건 잘 생각했어!
09:36 - 실시간 통화번역이 된다고?
12:11 - 핵신기한 AI 사진 보정

#갤럭시S24 #스마트폰 #아이폰15",삼성전자가 야심차게 준비하고 있는 갤럭시 S 24는 아이폰 15 프의 성능을 뛰어넘는 엄청난 기능을 탑재할 것으로 기대가 된다 하지만 삼성이 공개한 자료를 보면 엑시노스가 더 좋을 것 같다라는 생각이 든다
