title	embed_code	views	likes	upload_date	summary
혜진궁으로의 초대 (기안84의 시선 ver.)	https://www.youtube.com/embed/UaU2VZS-_GU	656,906	19,934	2023-11-30	<extra_id_0>팔사 최초 출연자인 한 씨가 한 씨의 집에 가서 밥을 먹고 싶다고 해서 같이 가자고 했다. 그런데 한 씨가 갑자기 채널을 만들고 집을 짓는다며 갑자기 집에 가자고 했다. 그래서 한 씨가 집에 가서 밥을 먹고 싶다고 했다.
[SUB] 형만 12명인 사람이 누나만 8명인 사람을 만났을 때 │  재친구 Ep.18 │  디노 김재중	https://www.youtube.com/embed/K726jlSWTmA	567,307	41,351	2023-11-30	멤버들에게 고맙다고 인사를 하고 싶다고 했는데 왜 그렇게 말을 안 하냐고 했다.
*최초 공개* 드디어 뭉친 이시언x기안84x한혜진의 황천길 라이딩🏍️🔥 ｜삼남매 케미 폭발, 바이크 여행, 막국수 먹방, 베스파	https://www.youtube.com/embed/tjHMsxdNDus	839,606	20,960	2023-11-28	우리의 마지막 촬영이 시작되었고 나는 홍천까지 가서 밥을 먹고 싶다고 했다. 그런데 갑자기 왜 이렇게 빨리 끝나냐고 하면서 자꾸 뭐라 그러길래 나는 그냥 집에 가서 밥을 먹고 싶다고 했다.
이경규x김용만, 찐친들의 대환장 폭로 현장ㅋㅋㅋ (feat. 김수용) l 예능대부 갓경규 EP.19	https://www.youtube.com/embed/bP3a5pr61FA	220,987	6,691	2023-11-29	김 씨는 회사를 설립하고 몇 년 동안 회사를 다녔냐고 물었다. 나는 회사를 다니는 것이 아니라 그냥 회사를 운영하는 거라고 했다. 그래서 나는 회사를 운영하는 것이 아니라 사람들이 모이는 곳에 가서 인터뷰를 하고 싶다고 했다. 그래서 나는 회사를 운영하는 거라고 했다. 그런데 그 사람들이 나를 왜 그렇게 싫어하냐고 했다. 나는 회사를 
[SUB] '그'만 사랑하겠습니다 | EP.17 스위트홈2 이진욱&송강 | 살롱드립2	https://www.youtube.com/embed/7B5UwngqBGg	786,431	19,405	2023-11-28	송 씨는 자신이 좋아하는 사람이 있다고 생각해서 그렇게 생각하는 것 같아 고맙다고 말했다.
무조림 이렇게 조려야 맛이 쏙쏙 베여요! 이방법으로 두부조림, 고등어무조림, 어묵조림 까지 만들 수 있어 일주일 반찬 뚝딱!	https://www.youtube.com/embed/1gwhFHu32WI	378,835	3,539	2023-11-28	무조림을 한번에 다 조리지 말고 두고두고 먹는 무조림 만드는 법으로 만들어두면 여러 방식으로 맛있게 먹을 수 있다.
미노이에게 혼나는 GYM노인.. (Feat. 미노이, 쇼리)	https://www.youtube.com/embed/2WwrcWL8nag	195,271	5,145	2023-11-30	우리가 같이 운동을 할 때 어깨가 안 좋다고 하는 사람이 있는데 나는 그렇게 하지 않고 그냥 편하게 앉아서 운동을 하는 것이 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 그냥 운동을 하는 
BABYMONSTER - 'BATTER UP' M/V	https://www.youtube.com/embed/olDWm2veCrM	52,177,106	1,719,241	2023-11-26	Batter up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up 
[#신랑수업] 남친이랑 놀러 갔는데 친누나 4명이 따라왔다💦?! 사실은 소영이가 준비한 5남매 완전체 모임❤️ #신성소영 #시누이 | 요즘남자라이프 신랑수업 92 회	https://www.youtube.com/embed/pkXGGfb7oQQ	263,600	2,226	2023-11-29	소영이가 너무 보고 싶어서 새벽부터 왔다고 했는데 이렇게 빨리 와 가지고 너무 놀랐다고 한다. 엄마가 꽃을 사가지고 갔는데 엄마가 너무 좋아 하는 거 같다고 했다. 그런데 엄마가 왜 이렇게 빨리 와 가지고 엄마가 너무 미안하다고 했다.
김동률 (Kim Dong Ryul) - 옛 얘기지만 (After All This Time) (Official Lyric Video)	https://www.youtube.com/embed/0k8SJJOLapY	98,524	5,698	2023-11-29	옛 얘기지만 다 지나버린 음악 이야기지만 갑자기 또 날 괴롭혔고 곱씹으면 다 알 것 같아 더 미치겠 왠지 모를 확 나는 것 같았고 그날 따라 난 하이 음악 같았고 하지 말아야 할 말과 눈빛 말투 몸치 모두 내게 쏟아내지 넌 아무 말도 하지 았지 그처럼 슬픔들을 하고서 차라리 나에게 화하도 내다 그런 난 편했을까 그렇게 내게
