title	embed_code	views	likes	upload_date	summary
구독을 하면 다리가 지어집니다.	https://www.youtube.com/embed/Wwz1lU4MkEY	조회수 222,156회	25,699	2023-12-19	따뜻한 섬으로 휴가를 왔지만 좋아요가 늘어날 때마다 화산에서 마그마가 해가 지고 다리를 지을 수 있는 블럭이 하나씩 주어집니다 구독 많이 해 줘야 내가 살 있다고 달라고 손으로 마그마로 뒤 습니다 빨리 건너야겠다 빨리 빨리 빨
세글자만 써라	https://www.youtube.com/embed/7nU5GW_S2ms	조회수 183,085회	24,449	2023-12-19	마크에는 철도끼 철 장비 TNT 같은 세 글자 아이템들이 있는데 나무를 캤는데 참나무 한 먹은 다섯 클자라 사용할 수 없다 한다면 나뭇잎을 캐서 막대기도 챙겨 주도록 하겠다 마을에 도착했는데 새 아이템만 파밍해 보도록 한다
야코 게임 출시	https://www.youtube.com/embed/4KjljpormfM	조회수 159,041회	7,981	2023-12-19	수많은 가시 원부를 해치고 하트를 온용 먹어 지우면서 손가락을 움직이는 리듬게임 야코 노의 리듬에 맞춰 리듬게임 야쿠 게임이다.
랜덤뽑기 RPG 중국판 첫 충전 기적의 날개	https://www.youtube.com/embed/0f-geJqm-3A	조회수 384,411회	19,682	2023-12-18	날개는 욕심나지만 못 참지 충년 시야 아 뭐 그냥 남은 다이 뽑기나 가자 날개는 못 참지 날개는 욕심나지 욕심나지
2개월동안 숨겨왔던 ‘부계정’ 공개합니다…!! #모바일게임 #무한의계단	https://www.youtube.com/embed/M31-9_x9nUc	조회수 595,339회	34,088	2023-12-17	유튜브를 해오면서 토리 두개라는 의혹이 있었지만 많은 사람들이 유버 중 아이고 님의 부계정이 아니냐는 말이 있어 부계정을 결국 공개했다 공개했는데 좋아요만 넘으면 커스텀으로 1만 점 가겠다
구독을 누르면 옷이 사라집니다	https://www.youtube.com/embed/rEyXe0lJfUU	조회수 225,747회	28,673	2023-12-18	구독자가 다형 팬티까지 못해주면 두부 정지야 구독한 사람한테 끌로 자수해 달라고 했다.
롤은 멀리서 보면 희극이고	https://www.youtube.com/embed/XZ1QtkQPNI0	조회수 852,811회	9,456	2023-12-18	케일이 킬 한 것도 중요하지만 피해를 최소화하는 것이 더 중요하다 포탑이 파괴되었다 아 진짜 지렸다 뭐야 이 새끼 왜 이렇게 질겨 개패고 싶다 진짜 미치겠다 진짜
얘들아 산타는 없단다(?)	https://www.youtube.com/embed/GDw26MYxg3k	조회수 435,183회	57,212	2023-12-17	산타 할아버지 선물 주시나요 구독과 좋아요는 눌렀니 바로 누를게요 감사합니다 어 뭐야 뭐야 뭐야
미친 반전...!!! ㅋㅋㅋㅋ #무한의계단 #모바일게임	https://www.youtube.com/embed/NrFf9A11Hss	조회수 474,690회	45,262	2023-12-17	유튜브를 시작해서 다시 성공할 수 있을까 궁금했고 채널을 만들었는데 버 떡상해라 다들 놀라셨으면 좋아요 만 개 넘으면 건설 커스텀으로 1만 점 가겠습니다
마린메딕 200모아 폭탄리콜 해버리기ㅋㅋ	https://www.youtube.com/embed/Lzjf4f3NM70	조회수 225,309회	1,463	2023-12-18	니콜 가보도록 하겠습니다 도전중입니다 일본은 죽었지만 좀 많이 내려왔고
잼못타 아픈 회오리 50번 가능?!	https://www.youtube.com/embed/dCZx2hsrGZQ	조회수 67,735회	3,895	2023-12-19	붕어빵 선수는 3층까지 도달 겨울 버프를 받고 빠르게 올라갑니다 긴간 베이컨 얼굴이 빨개진 채로 층까지 그 뒤에는 또 다른 선수가 쫓아옵니다 결국 싸움은 홍 베이컨과 홍어빵 선수 둘 중 승자는 누가 될까요 승리
꿀벌로 살아남기	https://www.youtube.com/embed/IablT6wIhQ0	조회수 79,212회	17,723	2023-12-19	벌집에 들어오면 수많은 벌들을 만날 수 있고 꿀벌로 변신할 있다 꿀벌이 되어보자 되어보자 꿀벌이 되어보자
둘이 먹으면 싹 다 죽는 전골.. 누가 만들었을까?	https://www.youtube.com/embed/cW0nx2C2KVQ	조회수 118,135회	6,246	2023-12-19	전골은 재료가 다양하게 들어가 맛이 있는데 금지된 들어가면 손님에게 맹물만 내보내는 것이다 그래서 재료에 대한 힌트를 잘 찾아야 한다 자 재료를 하나 까보겠다 사골 국물 찬성 마늘 반대 후추 반대 마늘 <extra_id_63>
홍구를 영원히 출입금지시키고 약자들한테 분풀이하려는 상대 ... 과연 그 생각대로 될까???ㅋㅋㅋㅋㅋ	https://www.youtube.com/embed/mMdsJymgiXI	조회수 137,608회	1,741	2023-12-19	미네랄이 부족해 공격을 시작하자 부족하다 미네랄이 공격을 공격을 시작하자 시작했다 아 망했다
명왕 레일리 사황 검은수염 티치 제압	https://www.youtube.com/embed/x5DYHO64o4s	조회수 401,364회	9,302	2023-12-17	티치는 행콕의 메르메르 능력을 얻기 위해 아마존 릴리에 쳐들어와 잡는 것까지 성공했지만 동료 카타리나 데몬이 능력에 돌로 변한 상태라서 행콕을 놔줄지 고민했다
8비트 최종 보상	https://www.youtube.com/embed/tcg29YoQ5eY	조회수 137,003회	3,166	2023-12-19	8비트 시너지는 스택을 경신할 때마다 보너스 공격력이 주어지며 최고 기록을 뚫어 보겠습니다 그리고 마지막 증강이 시간 반드시 챌린지에 도움되는 증강을 찾아야 한다 아 진짜 망했다 망했다 망했다 망했다 <extra_id_68>
버섯 도둑 사일러스	https://www.youtube.com/embed/cPtnMKBe-CY	조회수 501,429회	3,840	2023-12-18	탑이 파괴되었다 아 내가 킬 14대 이인데 방심하면 안 돼 카나와의를 파괴 아칼리 보여주나 시장 네 어 팀 이녀석 내 질량을 따라오다 인정하마 인정하마
(68화) 아이돌학교 #삐야기 #제페토 #로블록스 #추천 #제페토드라마 #제페토상황극 #걸그룹 #아이브	https://www.youtube.com/embed/71qP03M3kjc	조회수 65,921회	6,118	2023-12-19	체리나 서라가 채리니 네가를 못본다고 말리길래 우리가 말리던 중 린이는 린한테 이러면 안되는 것 아니냐고 했다 착한 척하다 걸리면 얼굴도 못 들고 다니게 할 거라고 체린 개 진짜 한다고 했다
사이버트럭 내구성 테스트하는 인공지능 로봇	https://www.youtube.com/embed/OAuX3nGcfJA	조회수 219,999회	1,520	2023-12-17	남자는 두 개의 로봇과 함께 걸음을 걷다 한 로봇에게 모자를 건네받고 다른 총을 건네받다 인사를 로봇은 자연스럽게 자세를 잡는다 이 영상은 테슬라 사이버트럭을 기념하여 만든다고 한다
리니지M 캐릭 팔다가 고소당했습니다 고소까지 가게 된 억울한 상황 설명 드리겠습니다 #불도그 #리니지M #리니지	https://www.youtube.com/embed/vCZnktI58Gc	조회수 84,151회	1,163	2023-12-18	1대 분에게 연락이 와서 계정을 찾았고 1대 계정으로 변경해 달라고 했다.
이재용과 김정은 #서울놈과시골놈 #극과극	https://www.youtube.com/embed/7B7HJiBCX8k	조회수 45,760회	6,643	2023-12-19	대한민국 1등 부자 기도 크고 잘생기고 똑똑하고 너무너무 멋있어 조순 림민 공화국 최고 수령 김 북한의 미사일을 날리고 핵폭탄을 만들고 뚱뚱하고 못생기고 별로야 통일 안 시키냐 좋아요를 눌러 주세요
Wait, What? Demon Teacher in School - part13	https://www.youtube.com/embed/9OgHP0XZUt0	조회수 34,449회	5,523	2023-12-19	산타 메이칸 아주 멋진 선물을 주겠다 이행을 도와줘 산타 메이칸 산타 메이칸 뭔데 뭔데
흑화한 고멤들 반응	https://www.youtube.com/embed/ANylSnlWZf0	조회수 114,639회	3,329	2023-12-18	렌트 님에게 감사하다는 말을 하고 싶어 다시 찾아 뵙겠다고 했다 아 그리고 세돌의 2주년을 축하한다 우리 새돌 분들에게 과일을 보내 달라고 아 감사하다 킹 고맙다
