title	embed_code	views	likes	upload_date	summary
아이폰을 20층 높이에서 떨어트리면?	https://www.youtube.com/embed/XaHnKbqXwG4	조회수 1,084,398회	24,455	2023-12-09	테크렉스 아는 유튜버가 아이폰을 20층 높이에서 떨어뜨려 보기로 한다 희생양이 된 모델은 아이폰 xs 카메라를 켜놓고 보는데 난간에 부딪히며 중간층이 떨어진다 화면은 잘 나오지만 터치는 되지 않는다 다른 가져온 남성 케이스를 끼고 다시 떨어뜨려 본다 <extra_id_23> <extra_id_24>
침수된 I5-10세대 LG그램을 조질려고 샀는데... 장난하냐.. | 해낮달낮	https://www.youtube.com/embed/BvWtvOBybdU	조회수 591,865회	12,385	2023-12-14	번장에서 15만 원 주고 구매한 침수된 노트북을 구매했는데 판매자가 종이컵에 있던 물이 들어갔고 서비스 센터에서 메인보드 교체 비용이 90만 원이 나와 보관만 했다고 해서 바로 사버렸다
시간을 정지 시킬수 있는 휴대폰은 갖게된다면?	https://www.youtube.com/embed/0WADybG2WNg	조회수 849,966회	22,155	2023-12-06	남성은 마법의 휴대폰이 있어 시간을 정지시킬 수 있는데 휴대폰으로 정지시킨 뒤 복수를 하나하나 해 주는데 여러분들은 시간을 멈춘 하고 싶으신가요 싶어요
요즘 급식들은 절대 모르는 야매(?) 스마트폰 ㅋㅋ PDA를 꺼내 살펴봤습니다	https://www.youtube.com/embed/PC85sjXSSG8	조회수 298,967회	4,186	2023-12-17	2004년 8월에 출시된 PDA는 스마트폰이 등장하기 전에 개인용 컴퓨터라는 느낌으로 유행했던 제품이다 HP 전용 충전기는 충전과 PC 연결을 한 번에 할 수 있는 것이다 추억의 독 케이스가 있다
쿠팡 멀티탭이 현재 화제인 3가지 이유 #살림남	https://www.youtube.com/embed/UCiT8QJZVYY	조회수 615,879회	6,472	2023-12-09	레고 멀티탭이 화재인 이유 코너 활용 자유자재 변경 가능한 맞춤형 멀티탭으로 발에 걸리지 않고 모서리 공간에 맞춰 사용할 수 있다 두 번째 맞춤 멀티탭을 지그재그로 사용 가능하다
너무 궁금했던 핸드폰 수리 과정	https://www.youtube.com/embed/evHUFTGzOx8	조회수 112,394회	893	2023-12-15	아이폰 뒷면이 다 깨진 아이폰을 받아 고정하는 여자와 도구를 이용하여 본격적인 수리에 들어간다 들어가는데 부분들을 깔끔하게 벗겨낸 후 강력한 접착제를 바른다 새 아이폰이 완성된다
이건 미쳤는데요?! 테슬라 옵티머스 젠2 발표, 왜 미쳤다고 하는지 분석합니다.	https://www.youtube.com/embed/r_fDeu_z7sA	조회수 207,139회	2,967	2023-12-15	테슬라에서 옵티머스 젠 2를 발표했는데 외형부터 많이 달라졌고 움직임도 장난이 아니며 다양한 부품들이 작게 만들어 구동할 수 있도록 설계했다.
곧 출시한다고요? 한국에서 미리 사용해본 스타링크 후기🛰️	https://www.youtube.com/embed/_5LZCa-bijg	조회수 437,018회	6,180	2023-12-13	스타 링크는 위성 통신 시스템의 지연이 긴 국가나 기지국이 닿지 않는 망망 대해의 배 위에서도 인터넷을 사용할 수 있게 해 준다 한국에 정식 출시하지 않아 한국어 사용 설명서가 없다 한국 서버로 바꿔 봤다 서버는 했다 했다 했
알아두면 쓸모있는 생활꿀팁 #다쓴건전지 #shorts	https://www.youtube.com/embed/SOvi0-vw0S0	조회수 14,173회	334	2023-12-18	다슨 건전지 생활 필티 첫 번째 새 건전지와 건전지가 섞여 있어 잘 모른다면 이렇게 해보세요 5cm 높이에서 건전지를 떨어뜨려 둔탁한 소리가 나거나 세워지면 하면 간단하게 구별할 수 있다
설득력이... 있어...!! 소니 플레이스테이션 포탈 개봉기	https://www.youtube.com/embed/uF-iNUAvmgk	조회수 274,017회	2,631	2023-12-15	PS5 게임을 리모트 플레이 할 수 있는 액세서리인 소니 플레이스테이션 포탈은 PS4 타이틀도 즐길 있다 하지만 PS5에 연결하면 타이틀을 플레이할 수 휴대용 게임기는 아니다 생각해야 한다 한다 한다 한다 <extra_id_68>
요즘 진화한 보이스피싱 근황 #shorts	https://www.youtube.com/embed/YFJgt8otUfM	조회수 1,204,480회	17,518	2023-12-01	타인명의 소액 결제 사기가 늘고 있다며 오히려 주의를 주고 사이버 수사대에서 연락이 갈 거라고 꼬는 것이 절차를 지키는 척하면서 안심하게 만드는 것이다.
【🤴Ep.382】 매일 대청소 실시하는(?) 로보락 신제품 Q-revo를 가져와봤습니다!	https://www.youtube.com/embed/NLkvM6wJuqE	조회수 33,489회	2,402	2023-12-18	로봇 청소기 로보락에서 출시한 Q 레보는 도크에 들어가면 먼지 통도 비워주고 물걸레도 빨아 주면서 건조까지 시켜주는 완전 올인원 모델이다 사용하면서 소음이 많이 느껴졌는데 이건 그렇지 않다 생각한다
AI 뉴스 - GPT 4.5 유출, 테슬라 옵티머스2 출시, 대량 실직 현실화, 알리바바 의상 AI, Gemini 무료 API, 인공지능 연말 휴가 등	https://www.youtube.com/embed/KpPvzD1tc0I	조회수 42,096회	839	2023-12-18	테슬라에서 새로운 AI 로봇을 공개했는데 손이 굉장히 자유롭고 움직임이 자연스럽다 보니 사람이 직접 동작을 학습하지 않아도 될 것 같다 생각이 든다 그리고 아웃핏 애니원도 공개했다
이거 조작맞죠...? 믿기지가 않는 테슬라 옵티머스 Gen 2 발표	https://www.youtube.com/embed/PXaat4r96xA	조회수 182,257회	2,946	2023-12-13	옵티머스 젠 2가 발표되었고 테슬라는 상상을 초월하는 개발 속도에 놀라 엄청난 발전을 이룬 것을 알 수 있게 됐다 옵티머스의 움직임은 인간과 닮아 있으며 디자인도 깔끔하게 개선이 되었다 충격적인 2의 영상 모습이다
노트북 CPU를 데스크탑 용으로 개조해버림;;; #대륙의실수 #아니고실체	https://www.youtube.com/embed/TFe-MWkoGN4	조회수 67,001회	1,440	2023-12-17	CPU 장착을 위해 소켓 가이드를 분해하고 별나사를 장착해 주면 장착이 완료된다.
Hands-on with Gemini: Interacting with multimodal AI	https://www.youtube.com/embed/UIZAiXYceBI	조회수 2,525,361회	59,027	2023-12-06	Gemini는 일련의 이미지를 보여준 후 무엇이 보이는지 추론하도록 했고 영상에는 Gemini와의 흥미로운 상호작용의 몇 가지 예시를 담았다.
스마트폰으로 남의 시력 체험하기	https://www.youtube.com/embed/cHyqL0OhsUE	조회수 1,764,135회	46,092	2023-12-04	스마트폰만 있으면 쉽게 체험해 볼 수 있는데 도수가 있는 안경을 준비하고 카메라를 렌즈에 갖다 댄 다음 화면을 클릭해 포커스를 맞추고 잠금 그리고 다시 떼보면 오래 번다 이렇게 체험이 가능하다
게이밍 컴퓨터를 샀다면 반드시 확인해야 할 것	https://www.youtube.com/embed/nQd7apsS4vs	조회수 2,892,144회	90,214	2023-11-25	CPU 아고 프로그램을 다운받아 튜닝램 중에 고수 메모리데이 활성화 시키기만 하면 되는데 트락 보드 바이오스에서 활성화를 시킬 수 있다.
2024 아이폰 소식 정리 | 아이폰16, 아이폰16프로, 아이폰16 울트라,	https://www.youtube.com/embed/yuOJ2ma__Ag	조회수 54,883회	834	2023-12-16	아이폰 16 시리즈는 13 구매자들이 16으로 옮기는 시점에 가까워지면서 애플은 AI 관련 투자와 광범위한 연구를 진행해 왔으며 구현을 위한 초석인 A18 칩셋 주목받고 있다.
가격 성능 둘다 잡은 갤럭시 S23 FE #제품리뷰	https://www.youtube.com/embed/ja1p8LE3_L8	조회수 133,689회	2,208	2023-12-12	친구 핸드폰을 깨 먹어서 미안해 가지고 하나 사 줬는데 구매부담을 줄이기 위한 새로운 구매 프로그램을 사별로 순차적으로 만나볼 수 있다고 하니 확인해 보고 부담을 구매 있다.
10만원대 태블릿에서 이게 다 돼요? 국내 브랜드 아이뮤즈 레볼루션 L11 상세리뷰	https://www.youtube.com/embed/8v3juao5m2Y	조회수 173,219회	2,479	2023-12-09	아이뮤즈 레볼루션 L 111은 LT 지원하고 전용 팬이 있어 차량용 내비 네비게이션으로 쓰기에 적합한 제품이다 그리고 키보드 커버는 마감이 굉장히 깔끔하다 제품의 가격은 85점 정도이다 만족스럽다 생각한다
개발자가 실수로 너무 잘 만든 제품	https://www.youtube.com/embed/i1Ir5bKfmMM	조회수 100,694회	743	2023-12-19	블랙체리 모공 수축 크림은 호기심이 강한 제작자가 이것저것 때려 놓다가 탄생한 제품으로 사람들한테 잡티 피지 등이 순식간에 없어졌다는 후기가 올라오면서 유명해졌다
컴퓨터 발전속도 체감하기.jpg	https://www.youtube.com/embed/YIAZFR35u8g	조회수 1,859,010회	29,137	2023-11-25	미국은 1700개의 플레이스테이션 3를 사용해 슈퍼 컴퓨터를 제작했다 직접 만드는 것보다 가격과 전력 수비 효율이 압도적으로 좋았기 때문이다
아이폰 신기능 추가! iOS17.2 핵심 변화점 및 사용 꿀팁 총정리	https://www.youtube.com/embed/BGPSbsoqYUs	조회수 117,945회	1,711	2023-12-12	새로운 위젯이 추가되어 날씨 위젯에 세부 사항 및 일출 일모로 보여주는 위젯을 추가할 수 있고 시계 항목에 디지털 시계를 있다 아이메시지 보낼 때 탭백 기능을 사용할 수
세계최초..직접 보여드림. 갤럭시S24 시리즈 미리 보고가세요. 갤럭시S24 I S24+ I S24울트라 목업 진짜 가져왔습니다	https://www.youtube.com/embed/hVifh3HoKkk	조회수 173,879회	2,522	2023-12-08	삼성 갤럭시 S14 언팩이 2024년 1월 17일로 정해졌고 출시하는 기기와는 다른 점들이 있지만 크기나 디자인의 변화점은 확인할 수 있다 S24 1반 모델은 디자인이 예쁠 것 같다
아이폰15 프로 버리고 아이폰15 쓰는 이유 (15프로는 구독자 이벤트...)	https://www.youtube.com/embed/Uth06Ej0CSQ	조회수 119,147회	3,211	2023-12-12	아이폰 15 프로는 카메라 섬이 커서 불편했는데 없어서 불편함이 덜하다.
의견 갈리는 아이패드 수리비	https://www.youtube.com/embed/jS_kx1DC9go	조회수 1,423,761회	32,000	2023-11-26	아이패드 주인에게 연락하니 본인이 애플케어를 들던 말든 내 알바가 아니라며 수립비 124만 원을 주거나 아이패드를 새걸로 사 조어 교체해 달라고 했다.
에이트와 함께하는 다이슨 팬데이 스페셜 라이브	https://www.youtube.com/embed/c4FJnSUvddc	조회수 210,367회	227	2023-12-18	다이슨은 헤어 제품과 청소기를 같이 만나 혜택이 역대급으로 좋다 느꼈고 신한 카드로 결제하면 5% 할인이 되고 10% 캐시백이 된다 했다.
쾌감 쩌는 아이폰15 언박싱	https://www.youtube.com/embed/eZOxRqQyS-Q	조회수 680,103회	22,718	2023-11-25	아이폰 15를 언박싱 해 볼게요 15 아이폰 아이폰 언박싱
RTX 4090 Do NOT Overclock	https://www.youtube.com/embed/FVKhzDsNJBw	조회수 55,309회	887	2023-12-13	중국 수출용 AI 칩에 대한 규제가 시작됐고 미국 정부가 이를 추가로 막아 정부는 엔비디아 측에 경고를 했다.
애플 출신 직원들이 만든 스마트폰 대체품	https://www.youtube.com/embed/ih0RhCysTGY	조회수 2,945,612회	32,138	2023-11-17	애플 디자이너들이 출시한 스마트폰 대체품인 메인은 화면이 없는 새로운 스마트 기계를 만들었다.
출시된지 한달된 최신 아이폰을 직접 만들어 쓰면 어떤 느낌일까?	https://www.youtube.com/embed/ZlEPRkSeCbo	조회수 145,469회	2,516	2023-12-01	아이폰 15 프로 정식 출시 전에 부품을 구할 수 있었지만 가격대가 높게 형성되어 있어 금전적으로 부족한 점이 지원금을 받아 조립을 해 보려고 한다 조립 완료 사진이다.
제리 무선충전기 만들기	https://www.youtube.com/embed/Si-BjD287yI	조회수 627,296회	17,440	2023-11-24	맥세이프 충전기를 가지고 충전이 되는 스마트폰 거치대를 만들 것이며 젤리를 먹은 제리 모양으로 것이다 충전 거치대의 가장 중요한 것은 효율을 최대한 끌어올려야 한다는 사포질이 끝나고 몸통을 붙여준다
전원버튼을 누르면 10시간 뒤에 켜지는 컴퓨터!!!	https://www.youtube.com/embed/pQWeztOS99M	조회수 787,951회	8,365	2023-11-17	컴퓨터 전원 버튼을 누르고 10시간 뒤에 켜진다면 와이프의 반응은 어떨까요 켜진다면 완성입니다 <extra_id_16> <extra_id_17>
컴맹도 쉽게 배우는! 1초만에 컴퓨터 끄는 방법, 바탕화면 아이콘 변경하는 방법! | 컴퓨터기초배우기	https://www.youtube.com/embed/jTxu68YDCd4	조회수 244,831회	5,745	2023-11-18	윈도우 10 버전에서 11 버전으로 변경되면서 작업 표시줄 부분이 확 달라졌는데 아이콘 디자인을 변경할 수 있다 바탕 화면에 있는 아이콘을 더블 클릭하기만 하면 바로 컴퓨터가 종료된다 아주 쉽다
