title	embed_code	views	likes	upload_date	summary
경기장 난입 소년 소녀	https://www.youtube.com/embed/P2Gzgz1G1bc	조회수 670,721회	14,154	2023-12-16	풋볼 경기장 안으로 뛰어들어가는 소를 한바퀴 돌고 나서 재빨리 관중석으로 돌아오려고 했는데 보안요원에게 잡혀 경기장 밖으로 이끌려 나간다 엄마와 축구 경기를 관람 중이던 소녀 경기장 안으로 축구공을 기 뛰었습니다
동양의학과 과학훈련을 접목시키며 세계를 제패해버릴뻔한 전설의 중국 육상 감독	https://www.youtube.com/embed/zzC4rTCoc3I	조회수 1,441,812회	4,051	2023-12-12	세계 육상 선수권 대회에서 중국 선수들이 중장거리 종목을 쓸어버리는 충격적인 일이 발생했다 아프리카 선수들과 미국 흑인 선수들이 상위권을 독식하던 여자 육상 중장거리 종목에서 중국 선수들이 금메달을 차지했다 
한경기에 김민재 혼자 몇골을 만드는거야ㅋㅋㅋ결국엔 독일 최고 평점까지 찍어버리네요	https://www.youtube.com/embed/-zuVNVVjzI8	조회수 2,625,518회	14,048	2023-12-17	김 선수는 프리킥 상황에서 공을 밀어 넣어 1대 1 도움을 만들어 냈다 그리고 1골 1도움 모두가 파블로 비치에게 연결됐다 김 선수는 전반전에 골을 취소 했지만 후반전에 다시 골을 넣었다 김 선수는 잘 막아냈다 
김연아 비웃음에 세계가 경악합니다	https://www.youtube.com/embed/MRupI770w8k	조회수 1,939,953회	26,708	2023-12-09	김 씨는 아사다 마오의 코치 때문에 밴쿠버 올림픽에서 분 메달을 목에 걸었다고 하며 아사다마오 코치의 행동은 그저 웃었다고 한다.
그랜드슬램 우승하고도 야유 때문에 눈물 흘려버리는 선수 | 코트 위 사람들 #shorts #스포츠 #테니스 #코위사 #테니스썰러 #세레나윌리엄스 #오사카나오미	https://www.youtube.com/embed/QzjQVkYfY5s	조회수 1,144,093회	7,574	2023-12-11	심판은 세레나가 코칭을 받았다고 판단해 1차 경고를 주고 항의했지만 이미 주어진 경고 문제는 그 다음부터였다 
성급했던 그의 최후	https://www.youtube.com/embed/BcYVLW3YL6Y	조회수 2,903,114회	21,473	2023-12-07	외국 선수는 아프가니스탄 출신으로 21살의 어린 나이에도 불구하고 고수한 실정 경험이 있었고 죽여버리겠다는 의지 하나로 북한 훈련을 해왔기에 해볼 만했다 
천하장사 강호동이 포기했던 경기 vs 이봉걸	https://www.youtube.com/embed/Gqk_uuNUVvc	조회수 731,307회	4,045	2023-12-11	스포스 추제 팀들이 와 있다 승 중에 강호동이 들네 기네 둘째 판네 리를 잡았다 네 번째 판네 리를 잡았다 네 번째 판네 리를 놓 세 번째 판네 리를 놓았다 네 번째 판네 리를 놓았다 경고를 받았다 
메이저에서 극한의 수비천재들이 모이면 생기는 일	https://www.youtube.com/embed/l4o3BldvQBw	조회수 857,246회	2,435	2023-12-12	메이저에서 등장하는 트릭샷 야구를 보는 재미 중 하나인 트릭샷 야구를 보는 재미 중 하나인 공이 없는 척 주자를 아웃 시키려는 일들이 종종 발생하기 때문에 타자와 수비의 신경전은 엄청난 모습을 보여준다
여자 축구 선수 유니폼이 젖으면서 벌어진 민망한 상황	https://www.youtube.com/embed/G60A6oqUOlY	조회수 371,131회	2,991	2023-12-15	아스톤 빌라 소속의 여성 팀 선수들이 착용한 유니폼의 성능이 너무 뛰어났기 때문에 유니폼이 땀에 젖기 시작하면 민망한 부위가 튀어나오기 때문에 곤란을 겪고 있다.
대놓고 도루하려고 하다가 참교육 당하는 주자 #shorts #최강야구	https://www.youtube.com/embed/IJrlkRkRB_g	조회수 752,555회	10,331	2023-12-13	파울 파 파울 파 봤잖아 어떤 작전이 나올지 몰라 드을 크게 가져가면서 자신감이 있어 루 루요니다 결국은 투자를 참아낸다 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 좋아 
